model,seed,val_sharpe,test_sharpe
full,0,2.554737184554088,1.8069715357827598
full,1,2.512301750579701,1.617370782519511
full,2,2.5586896028225565,1.7282618032061958
full,3,2.3616809926152773,1.9141044488196433
full,4,2.565868331406665,2.069296793560961
no_state,0,2.384210958263374,1.3042957319206687
no_state,1,2.495949695027169,1.45369276853122
no_state,2,2.3986511059789266,1.5045925730461744
no_state,3,2.8766653049343636,1.6553821105191264
no_state,4,2.578692445932021,1.7400823287453921
no_context,0,3.0370509609773237,2.035717916180158
no_context,1,2.382179105882776,1.814734180064073
no_context,2,3.1423518522068514,1.9599436425916434
no_context,3,2.422767499059428,1.8040022080663147
no_context,4,2.706913458676541,1.710032555849969
static,0,2.083584552619576,1.4024540115809039
static,1,2.277874635704915,1.2971784900966337
static,2,2.3348266664519435,1.5225659343438769
static,3,2.424795831251888,1.511547723035626
static,4,2.3593263978218038,1.5547923664926204
linear_characteristics,0,2.706664105181755,1.7502511811061128
linear_characteristics,1,2.8478139986683315,1.6611310313943106
linear_characteristics,2,2.864182927487438,1.6963322354039398
linear_characteristics,3,2.5831422243081756,1.6970556301331785
linear_characteristics,4,2.6811779018040736,1.7696309079787664
direct_conditional_nn,0,2.301540524622003,1.5768633206422302
direct_conditional_nn,1,2.4928816861106844,1.7670672332642214
direct_conditional_nn,2,2.3487762785633293,1.6552301019613418
direct_conditional_nn,3,2.213038641709775,1.8022995087632274
direct_conditional_nn,4,2.2092356460975804,1.7551844089606132
