factor,economic_eigenvalue,share,cumulative_share
1,0.04424371921524879,0.8919842346276047,0.8919842346276047
2,0.005054555237728828,0.10190335860269621,0.9938875932303008
3,0.00026157451115555835,0.005273524565058845,0.9991611177953597
4,3.673854236940715e-05,0.0007406746353596573,0.9999017924307193
5,3.29059870231386e-06,6.634076467826424e-05,0.9999681331953976
6,7.639715579112633e-07,1.540219939570252e-05,0.9999835353947932
7,3.939083240479276e-07,7.941466521608232e-06,0.9999914768613148
8,2.087210152052764e-07,4.207961227057259e-06,0.9999956848225419
9,8.273278741368131e-08,1.6679506915044025e-06,0.9999973527732333
10,3.986075251591838e-08,8.036205693199856e-07,0.9999981563938026
11,3.114921052409719e-08,6.279898073988066e-07,0.99999878438361
12,1.9161302707286817e-08,3.863052255321337e-07,0.9999991706888356
13,1.5980589447633802e-08,3.2217982801122107e-07,0.9999994928686636
14,6.07385264965092e-09,1.2245310527765176e-07,0.999999615321769
15,5.825828246028061e-09,1.1745276033019863e-07,0.9999997327745292
16,3.7066382954818285e-09,7.47284130195187e-08,0.9999998075029423
17,2.491834091108557e-09,5.02371130637314e-08,0.9999998577400553
18,1.8582054412063053e-09,3.746271759368719e-08,0.9999998952027729
19,1.8100888157926958e-09,3.6492652869163995e-08,0.9999999316954258
20,1.002176894533677e-09,2.0204585104680714e-08,0.9999999519000109
21,6.307746174211647e-10,1.2716856184843994e-08,0.9999999646168671
22,4.2794837552441313e-10,8.627737698658656e-09,0.9999999732446049
23,3.698285983630199e-10,7.456002458774829e-09,0.9999999807006074
24,3.3017439973489644e-10,6.656546159881968e-09,0.9999999873571536
25,1.6728861231538261e-10,3.3726550901403813e-09,0.9999999907298086
26,1.4779217871640832e-10,2.9795933921139805e-09,0.999999993709402
27,1.0475042881073374e-10,2.1118416970120517e-09,0.9999999958212437
28,8.054993957890112e-11,1.6239429568530203e-09,0.9999999974451866
29,4.9648794983116294e-11,1.0009543315683665e-09,0.999999998446141
30,3.407270421807865e-11,6.86929479092725e-10,0.9999999991330705
31,2.776476525959882e-11,5.597570305789921e-10,0.9999999996928275
32,1.5236200696814138e-11,3.071724316633925e-10,0.9999999999999999
