factor,state,correlation
1,ew_mean12,0.24466258516382433
1,ew_lag1,-0.41979059322457146
1,vw_lag1,-0.46210372630005975
1,log_n,-0.5810933678261959
1,ew_vol12,-0.7067574448506685
1,xs_disp_lag1,-0.7478994163212043
2,ew_vol12,0.7447888099413522
2,xs_disp_lag1,0.7165944354632221
2,vw_lag1,0.5581805198400205
2,ew_lag1,0.525233195159937
2,log_n,0.523955349370104
2,ew_mean12,-0.201670692575304
3,ew_vol12,0.7273068650155273
3,log_n,0.35075983406195327
3,xs_disp_lag1,0.3437813871939279
3,ew_mean12,-0.1358833690677254
3,ew_lag1,-0.22639270530791925
3,vw_lag1,-0.26493771602308547
4,log_n,0.44485812707251426
4,xs_disp_lag1,0.3147303522940512
4,ew_vol12,0.1509036938108108
4,ew_lag1,-0.43950696055092164
4,ew_mean12,-0.45894226857335835
4,vw_lag1,-0.610916321582597
5,log_n,0.14020452722399923
5,xs_disp_lag1,-0.05399071756221106
5,vw_lag1,-0.3067568350058207
5,ew_vol12,-0.4199334258361433
5,ew_lag1,-0.4205369806682333
5,ew_mean12,-0.6057866845963497
6,xs_disp_lag1,0.5815093753453198
6,ew_mean12,0.47376573800950483
6,ew_vol12,0.3097355817855551
6,log_n,0.11300058191395146
6,vw_lag1,0.022801386382122316
6,ew_lag1,-0.0027196932475068805
7,log_n,0.4742933985842808
7,ew_vol12,0.34414698275834077
7,xs_disp_lag1,0.2113047307148525
7,ew_mean12,-0.1991953690623818
7,vw_lag1,-0.24853194195170128
7,ew_lag1,-0.4596402281707541
8,ew_lag1,0.6470450476255997
8,vw_lag1,0.41993308300288595
8,xs_disp_lag1,0.3208088671066312
8,log_n,0.034731596196852635
8,ew_vol12,0.031038535704829277
8,ew_mean12,-0.07775531773157682
9,vw_lag1,0.41192721131489185
9,ew_lag1,0.2656514871351311
9,ew_mean12,0.2468729079829561
9,ew_vol12,0.20404311220169732
9,log_n,0.13242917287752143
9,xs_disp_lag1,-0.08212594031208187
10,ew_vol12,0.36983256724718944
10,ew_lag1,0.3486409496391712
10,vw_lag1,0.3323401068244829
10,xs_disp_lag1,0.20967964372126804
10,ew_mean12,0.1343694267406661
10,log_n,-0.00346288832285013
11,ew_mean12,0.00962254835200479
11,xs_disp_lag1,-0.02674153798000039
11,vw_lag1,-0.15435344378286778
11,ew_lag1,-0.20511241673231326
11,log_n,-0.27153233088991063
11,ew_vol12,-0.3672693870446652
12,log_n,0.24185255364413766
12,ew_mean12,0.21135809624442223
12,xs_disp_lag1,0.15916896299030853
12,ew_vol12,0.12660932447319265
12,ew_lag1,0.09991326295007302
12,vw_lag1,0.06925692235775356
13,vw_lag1,0.3725570866278739
13,ew_lag1,0.24322289237648687
13,ew_mean12,0.09511517001184779
13,log_n,0.07292594623668405
13,xs_disp_lag1,-0.008009514094505331
13,ew_vol12,-0.06483642763186842
14,log_n,0.3107718679481722
14,xs_disp_lag1,-0.0973847392565256
14,vw_lag1,-0.21642768639425716
14,ew_vol12,-0.22256689594437717
14,ew_lag1,-0.23184438737345428
14,ew_mean12,-0.6263163854159761
15,vw_lag1,0.34003886571755326
15,ew_lag1,0.22988178240934015
15,ew_mean12,0.059094293913346974
15,xs_disp_lag1,0.036306065405610134
15,log_n,0.004032992465750556
15,ew_vol12,-0.15757693808211373
