factor,characteristic,top_minus_bottom,abs_top_minus_bottom
1,mispricing_mgmt,0.45670548,0.45670548
1,fcf_me,0.45303997,0.45303997
1,mispricing_perf,0.41951787,0.41951787
1,rmax5_21d,-0.413167,0.413167
1,ocf_me,0.41275847,0.41275847
1,ebitda_mev,0.40855837,0.40855837
1,ocf_at,0.39783734,0.39783734
1,ebit_bev,0.38565478,0.38565478
1,rmax1_21d,-0.3827296,0.3827296
1,qmj_prof,0.38241798,0.38241798
1,noa_gr1a,-0.3749383,0.3749383
1,eqnpo_me,0.37259397,0.37259397
1,eqnpo_12m,0.34835184,0.34835184
1,niq_at,0.33968815,0.33968815
1,rvol_21d,-0.33863908,0.33863908
1,ni_me,0.33732742,0.33732742
1,fnl_gr1a,-0.33141658,0.33141658
1,lnoa_gr1a,-0.32930496,0.32930496
1,ret_12_1,0.32904547,0.32904547
1,eqnetis_at,-0.32838482,0.32838482
1,niq_be,0.31593716,0.31593716
1,ivol_capm_21d,-0.3114073,0.3114073
1,nncoa_gr1a,-0.30995843,0.30995843
1,chcsho_12m,-0.3092009,0.3092009
1,cop_at,0.3062955,0.3062955
1,ncoa_gr1a,-0.3040515,0.3040515
1,at_gr1,-0.3002219,0.3002219
1,ret_9_1,0.29932258,0.29932258
1,op_at,0.2980354,0.2980354
1,resff3_12_1,0.2976604,0.2976604
1,ivol_ff3_21d,-0.2915881,0.2915881
1,ivol_hxz4_21d,-0.29131195,0.29131195
1,ni_be,0.28863707,0.28863707
1,eqpo_me,0.28823245,0.28823245
1,nfna_gr1a,0.28347796,0.28347796
1,rmax5_rvol_21d,-0.2748531,0.2748531
1,o_score,-0.2737947,0.2737947
1,eq_dur,-0.27252054,0.27252054
1,emp_gr1,-0.27011374,0.27011374
1,netis_at,-0.26747888,0.26747888
1,inv_gr1a,-0.26678437,0.26678437
1,qmj_safety,0.26654896,0.26654896
1,ret_6_1,0.26618478,0.26618478
1,ppeinv_gr1a,-0.2624967,0.2624967
1,ope_be,0.25940093,0.25940093
1,f_score,0.25918373,0.25918373
1,bidaskhl_21d,-0.2566391,0.2566391
1,ebit_sale,0.25654596,0.25654596
1,coa_gr1a,-0.25200126,0.25200126
1,ivol_capm_252d,-0.25060692,0.25060692
1,inv_gr1,-0.24715398,0.24715398
1,div12m_me,0.24168323,0.24168323
1,sale_me,0.24092755,0.24092755
1,prc_highprc_252d,0.23747237,0.23747237
1,age,0.2363641,0.2363641
1,cop_atl1,0.23036474,0.23036474
1,op_atl1,0.230005,0.230005
1,ret_1_0,-0.2256709,0.2256709
1,ope_bel1,0.21976097,0.21976097
1,resff3_6_1,0.21500975,0.21500975
1,sale_bev,0.21275868,0.21275868
1,ret_12_7,0.20533648,0.20533648
1,betadown_252d,-0.20038179,0.20038179
1,gp_at,0.19697829,0.19697829
1,sale_gr1,-0.19049315,0.19049315
1,zero_trades_252d,0.19019227,0.19019227
1,cowc_gr1a,-0.18515667,0.18515667
1,rskew_21d,-0.18285207,0.18285207
1,turnover_126d,-0.17980044,0.17980044
1,zero_trades_126d,0.1793096,0.1793096
1,oaccruals_ni,-0.17603222,0.17603222
1,seas_1_1na,0.175191,0.175191
1,zero_trades_21d,0.17511292,0.17511292
1,at_turnover,0.16603407,0.16603407
1,noa_at,-0.16297038,0.16297038
1,niq_at_chg1,0.1612533,0.1612533
1,iskew_capm_21d,-0.15775332,0.15775332
1,seas_1_1an,0.15699537,0.15699537
1,sale_gr3,-0.15583393,0.15583393
1,capx_gr1,-0.14651412,0.14651412
1,ret_3_1,0.1446236,0.1446236
1,saleq_gr1,-0.14385353,0.14385353
1,iskew_ff3_21d,-0.13892594,0.13892594
1,aliq_at,-0.13787119,0.13787119
1,prc,0.13564657,0.13564657
1,aliq_mat,0.13405527,0.13405527
1,beta_dimson_21d,-0.13330886,0.13330886
1,beta_60m,-0.13178107,0.13178107
1,ocf_at_chg1,0.13052705,0.13052705
1,be_me,0.125632,0.125632
1,taccruals_at,0.12464614,0.12464614
1,oaccruals_at,-0.123779915,0.123779915
1,at_me,0.119372115,0.119372115
1,gp_atl1,0.11718384,0.11718384
1,ival_me,0.116588004,0.116588004
1,iskew_hxz4_21d,-0.11637327,0.11637327
1,dbnetis_at,-0.115116,0.115116
1,z_score,0.111956246,0.111956246
1,be_gr1a,-0.10867442,0.10867442
1,col_gr1a,-0.107322425,0.107322425
1,pi_nix,0.102979906,0.102979906
1,lti_gr1a,-0.08834687,0.08834687
1,dsale_drec,0.08635119,0.08635119
1,dgp_dsale,0.0813836,0.0813836
1,dolvol_126d,-0.079263315,0.079263315
1,bev_mev,0.0791916,0.0791916
1,opex_at,0.07627429,0.07627429
1,taccruals_ni,0.07326607,0.07326607
1,tangibility,0.068039104,0.068039104
1,kz_index,-0.06682234,0.06682234
1,netdebt_me,-0.06672168,0.06672168
1,tax_gr1a,0.057661854,0.057661854
1,ncol_gr1a,-0.051608995,0.051608995
1,sale_emp_gr1,0.049948785,0.049948785
1,sti_gr1a,0.038724534,0.038724534
1,at_be,0.03018012,0.03018012
1,ami_126d,0.023648063,0.023648063
1,cash_at,-0.021871815,0.021871815
1,coskew_21d,0.018013379,0.018013379
1,market_equity,-0.015452411,0.015452411
1,log_me_rank,-0.015448186,0.015448186
1,debt_me,-0.013840048,0.013840048
1,dolvol_var_126d,0.009886833,0.009886833
1,turnover_var_126d,0.009875433,0.009875433
2,ivol_capm_252d,0.47952187,0.47952187
2,oaccruals_at,-0.44785565,0.44785565
2,prc,-0.4182607,0.4182607
2,ebit_sale,-0.41054147,0.41054147
2,market_equity,-0.4026357,0.4026357
2,log_me_rank,-0.40252694,0.40252694
2,noa_gr1a,-0.39850408,0.39850408
2,ivol_ff3_21d,0.39252928,0.39252928
2,bidaskhl_21d,0.39034304,0.39034304
2,ivol_hxz4_21d,0.38904032,0.38904032
2,mispricing_mgmt,0.38770306,0.38770306
2,ni_me,-0.38144085,0.38144085
2,ivol_capm_21d,0.3794702,0.3794702
2,dolvol_var_126d,0.36806917,0.36806917
2,at_gr1,-0.36784235,0.36784235
2,ami_126d,0.3650433,0.3650433
2,ni_be,-0.361753,0.361753
2,rvol_21d,0.35782385,0.35782385
2,cash_at,0.356559,0.356559
2,turnover_var_126d,0.35260898,0.35260898
2,lnoa_gr1a,-0.338165,0.338165
2,ncoa_gr1a,-0.33147782,0.33147782
2,noa_at,-0.32647687,0.32647687
2,nncoa_gr1a,-0.3250368,0.3250368
2,dolvol_126d,-0.30723503,0.30723503
2,inv_gr1a,-0.30436334,0.30436334
2,coa_gr1a,-0.2954411,0.2954411
2,be_gr1a,-0.2770982,0.2770982
2,ppeinv_gr1a,-0.27360886,0.27360886
2,cowc_gr1a,-0.2705308,0.2705308
2,div12m_me,-0.26934752,0.26934752
2,oaccruals_ni,-0.26855123,0.26855123
2,opex_at,0.26228204,0.26228204
2,rmax5_21d,0.2576046,0.2576046
2,rmax1_21d,0.25708956,0.25708956
2,niq_be,-0.2544774,0.2544774
2,ope_bel1,-0.24515685,0.24515685
2,fnl_gr1a,-0.2396615,0.2396615
2,netdebt_me,-0.23899217,0.23899217
2,inv_gr1,-0.2357215,0.2357215
2,niq_at,-0.2352238,0.2352238
2,prc_highprc_252d,-0.23518017,0.23518017
2,at_be,-0.23275171,0.23275171
2,ebit_bev,-0.23130707,0.23130707
2,resff3_12_1,0.22781394,0.22781394
2,tangibility,0.22741833,0.22741833
2,ope_be,-0.22160003,0.22160003
2,age,-0.22113223,0.22113223
2,sale_bev,0.21338437,0.21338437
2,ret_1_0,-0.197356,0.197356
2,o_score,0.19426793,0.19426793
2,debt_me,-0.19387332,0.19387332
2,rmax5_rvol_21d,-0.19223054,0.19223054
2,qmj_safety,-0.1916214,0.1916214
2,resff3_6_1,0.19010259,0.19010259
2,eq_dur,0.18950842,0.18950842
2,nfna_gr1a,0.18382487,0.18382487
2,ebitda_mev,-0.17417867,0.17417867
2,eqpo_me,-0.17250125,0.17250125
2,cop_at,0.16413191,0.16413191
2,lti_gr1a,-0.15744218,0.15744218
2,sale_gr1,-0.15270974,0.15270974
2,eqnpo_me,-0.15056732,0.15056732
2,aliq_mat,0.1480903,0.1480903
2,taccruals_at,-0.14769784,0.14769784
2,capx_gr1,-0.1474974,0.1474974
2,dsale_drec,0.13887422,0.13887422
2,sale_gr3,-0.13555694,0.13555694
2,op_atl1,-0.13367786,0.13367786
2,beta_60m,0.12802099,0.12802099
2,eqnpo_12m,-0.12708685,0.12708685
2,ocf_at_chg1,0.12670448,0.12670448
2,saleq_gr1,-0.12244706,0.12244706
2,at_me,-0.116546586,0.116546586
2,ncol_gr1a,-0.10342789,0.10342789
2,emp_gr1,-0.10301055,0.10301055
2,ret_6_1,0.10265204,0.10265204
2,cop_atl1,0.100455396,0.100455396
2,eqnetis_at,0.09891853,0.09891853
2,niq_at_chg1,0.098337,0.098337
2,mispricing_perf,-0.088854715,0.088854715
2,qmj_prof,-0.08767529,0.08767529
2,op_at,-0.08663562,0.08663562
2,at_turnover,0.08567658,0.08567658
2,gp_at,0.084702626,0.084702626
2,ret_9_1,0.084033094,0.084033094
2,kz_index,0.08402981,0.08402981
2,chcsho_12m,0.081014745,0.081014745
2,betadown_252d,0.076245114,0.076245114
2,col_gr1a,-0.07567957,0.07567957
2,seas_1_1na,0.071335025,0.071335025
2,f_score,-0.0681363,0.0681363
2,sale_me,0.065925196,0.065925196
2,ret_12_1,0.063228354,0.063228354
2,zero_trades_252d,-0.062287223,0.062287223
2,turnover_126d,0.06100962,0.06100962
2,zero_trades_126d,-0.059092514,0.059092514
2,iskew_capm_21d,-0.056294136,0.056294136
2,ret_3_1,0.05614143,0.05614143
2,fcf_me,-0.05484755,0.05484755
2,iskew_ff3_21d,-0.054756973,0.054756973
2,z_score,-0.05342387,0.05342387
2,iskew_hxz4_21d,-0.049154148,0.049154148
2,beta_dimson_21d,0.04709593,0.04709593
2,ocf_me,-0.046707686,0.046707686
2,zero_trades_21d,-0.045542046,0.045542046
2,netis_at,0.04296058,0.04296058
2,coskew_21d,0.04279431,0.04279431
2,aliq_at,0.041658726,0.041658726
2,dgp_dsale,0.041157052,0.041157052
2,ocf_at,-0.03943983,0.03943983
2,bev_mev,-0.03571933,0.03571933
