factor,characteristic_1,characteristic_2,normalized_interaction,months,period
1,resff3_12_1,rmax5_rvol_21d,0.05487081657089004,12,train_early
1,resff3_12_1,ret_12_1,0.053451911786299725,12,train_early
1,resff3_12_1,ret_1_0,0.053052362106346944,12,train_early
1,resff3_12_1,iskew_ff3_21d,0.05015440704236128,12,train_early
1,resff3_12_1,o_score,0.049642582078687846,12,train_early
1,resff3_12_1,dgp_dsale,0.048970766929395025,12,train_early
1,o_score,ret_1_0,0.04662682740936596,12,train_early
1,iskew_ff3_21d,ret_1_0,0.045766145730598354,12,train_early
1,o_score,rmax5_rvol_21d,0.04547555911019073,12,train_early
1,ret_1_0,rmax5_rvol_21d,0.044727796051868086,12,train_early
1,resff3_12_1,ivol_capm_21d,0.04389051789596696,12,train_early
1,ret_12_1,rmax5_rvol_21d,0.04294663087074142,12,train_early
1,iskew_ff3_21d,dgp_dsale,0.04205873268268563,12,train_early
1,ret_12_1,ret_1_0,0.04091047024908382,12,train_early
1,iskew_ff3_21d,o_score,0.04059009118161206,12,train_early
1,resff3_12_1,seas_1_1an,0.04038968702797577,12,train_early
1,ret_12_1,o_score,0.04037814559796993,12,train_early
1,rmax5_rvol_21d,dgp_dsale,0.04006239988208015,12,train_early
1,ret_1_0,dgp_dsale,0.03957498914828482,12,train_early
1,ret_12_1,iskew_ff3_21d,0.03910900032940127,12,train_early
1,iskew_ff3_21d,rmax5_rvol_21d,0.037712676609575,12,train_early
1,resff3_12_1,ncoa_gr1a,0.037205439485124114,12,train_early
1,iskew_ff3_21d,ncoa_gr1a,0.037171249244460414,12,train_early
1,rmax5_rvol_21d,seas_1_1an,0.03686736106790862,12,train_early
1,o_score,dgp_dsale,0.03674639544266081,12,train_early
1,o_score,seas_1_1an,0.035470033452850575,12,train_early
1,dgp_dsale,ivol_capm_21d,0.034834863134783366,12,train_early
1,ncoa_gr1a,ret_1_0,0.03443227939257357,12,train_early
1,ret_12_1,dgp_dsale,0.03433355420874514,12,train_early
1,rmax5_rvol_21d,ivol_capm_21d,0.03429100579687154,12,train_early
1,o_score,ncoa_gr1a,0.03415525306653789,12,train_early
1,iskew_ff3_21d,ivol_capm_21d,0.034010750074368615,12,train_early
1,o_score,ivol_capm_21d,0.033824195737890944,12,train_early
1,ret_12_1,seas_1_1an,0.033513377974063126,12,train_early
1,iskew_ff3_21d,seas_1_1an,0.03305955960645493,12,train_early
1,ret_1_0,seas_1_1an,0.03293727937136776,12,train_early
1,ret_12_1,ivol_capm_21d,0.032926470192499134,12,train_early
1,ret_1_0,ivol_capm_21d,0.03217565838709298,12,train_early
1,dgp_dsale,seas_1_1an,0.03196444814741402,12,train_early
1,ret_12_1,ncoa_gr1a,0.03189808658898623,12,train_early
1,ncoa_gr1a,dgp_dsale,0.029660137691291666,12,train_early
1,seas_1_1an,ivol_capm_21d,0.028634208209843318,12,train_early
1,ncoa_gr1a,ivol_capm_21d,0.025952989157770324,12,train_early
1,ncoa_gr1a,seas_1_1an,0.02524882067569314,12,train_early
1,ncoa_gr1a,rmax5_rvol_21d,0.0251057652091245,12,train_early
1,resff3_12_1,ret_12_1,0.051823889678398065,12,train_late
1,resff3_12_1,ret_1_0,0.048907171877118655,12,train_late
1,resff3_12_1,dgp_dsale,0.04763001258500977,12,train_late
1,resff3_12_1,rmax5_rvol_21d,0.04625201052668632,12,train_late
1,resff3_12_1,o_score,0.043553455559702095,12,train_late
1,resff3_12_1,iskew_ff3_21d,0.042111498746931306,12,train_late
1,o_score,ret_1_0,0.038786982154874465,12,train_late
1,ret_12_1,ret_1_0,0.037589693929329475,12,train_late
1,resff3_12_1,seas_1_1an,0.03749069076173184,12,train_late
1,ret_1_0,rmax5_rvol_21d,0.036918427945708605,12,train_late
1,resff3_12_1,ivol_capm_21d,0.03652515201764515,12,train_late
1,iskew_ff3_21d,ret_1_0,0.03582644772005312,12,train_late
1,ret_12_1,rmax5_rvol_21d,0.035738477591456035,12,train_late
1,ret_1_0,dgp_dsale,0.034496318762719455,12,train_late
1,ret_12_1,o_score,0.03424520259252246,12,train_late
1,o_score,rmax5_rvol_21d,0.03417265271839643,12,train_late
1,resff3_12_1,ncoa_gr1a,0.03414814229890033,12,train_late
1,iskew_ff3_21d,dgp_dsale,0.033398920250563124,12,train_late
1,rmax5_rvol_21d,dgp_dsale,0.033098526038405816,12,train_late
1,ret_12_1,iskew_ff3_21d,0.03262465689428252,12,train_late
1,ret_12_1,dgp_dsale,0.032432439195602576,12,train_late
1,o_score,dgp_dsale,0.031683591649314044,12,train_late
1,iskew_ff3_21d,o_score,0.030725009557127616,12,train_late
1,ret_12_1,seas_1_1an,0.030294633871114456,12,train_late
1,rmax5_rvol_21d,seas_1_1an,0.029773180881723506,12,train_late
1,ncoa_gr1a,ret_1_0,0.029611318979156427,12,train_late
