direction,policy_eigenvalue,share,cumulative_share
1,232.45412306782393,0.9718977951357161,0.9718977951357161
2,5.56999769154918,0.02328833063437713,0.9951861257700931
3,0.8752850095433502,0.0036595933841204365,0.9988457191542136
4,0.15883092340399985,0.000664076946532271,0.9995097961007459
5,0.06061308709712662,0.0002534251702168268,0.9997632212709627
6,0.021723739705289312,9.082761984614317e-05,0.9998540488908089
7,0.012767237387211527,5.3380209836005824e-05,0.9999074291006449
8,0.00847893072982167,3.545066859931645e-05,0.9999428797692442
9,0.003911754812943864,1.6355166463114938e-05,0.9999592349357074
10,0.003675505762112503,1.5367401958981315e-05,0.9999746023376663
11,0.0024036263705401392,1.0049635338911237e-05,0.9999846519730052
12,0.001092123154300043,4.566200296525511e-06,0.9999892181733018
13,0.0007255739969358168,3.033647063442171e-06,0.9999922518203652
14,0.0004750900572648719,1.986366053881122e-06,0.9999942381864191
15,0.0003371453810045145,1.4096151451909198e-06,0.9999956478015642
16,0.00025349770418890645,1.0598816511474774e-06,0.9999967076832154
17,0.0001912183439095364,7.994897418143749e-07,0.9999975071729572
18,0.00011140150315279479,4.657730904494011e-07,0.9999979729460476
19,9.881971228215093e-05,4.13168238168637e-07,0.9999983861142858
20,8.154766778984776e-05,3.4095329210524736e-07,0.999998727067578
21,6.829559983821345e-05,2.8554599085714633e-07,0.9999990126135688
22,5.5812084289461106e-05,2.3335203070168444e-07,0.9999992459655995
23,4.291717727619465e-05,1.7943803025602621e-07,0.9999994254036297
24,3.94407887574546e-05,1.6490314357899897e-07,0.9999995903067733
25,2.544661649468259e-05,1.063930815184128e-07,0.9999996966998549
26,2.059042710153218e-05,8.608920520219343e-08,0.9999997827890601
27,1.86836786037673e-05,7.811703143990949e-08,0.9999998609060915
28,1.108687439553656e-05,4.635456079574316e-08,0.9999999072606522
29,1.0327223252320054e-05,4.3178436141894666e-08,0.9999999504390884
30,5.31534537489876e-06,2.2223621513229246e-08,0.9999999726627099
31,3.6619672314670168e-06,1.531079694845248e-08,0.9999999879735069
32,2.8764422975995067e-06,1.2026493184878418e-08,1.0
