factor,characteristic,importance,share
1,resff3_12_1,27.835824251174927,0.02593925230816314
1,ret_12_1,23.813119729359943,0.022190631587936282
1,iskew_ff3_21d,23.558793624242146,0.02195363379151125
1,o_score,20.510348320007324,0.01911289190506093
1,ncoa_gr1a,20.0464346408844,0.01868058661877253
1,ret_1_0,19.87860067685445,0.018524187889582096
1,rmax5_rvol_21d,19.47207220395406,0.0181453579137257
1,dgp_dsale,19.155659675598145,0.01785050390356857
1,seas_1_1an,17.76006046930949,0.01654999274908154
1,ivol_capm_21d,17.613629857699078,0.01641353907176531
1,f_score,17.311385989189148,0.01613188835098439
1,capx_gr1,17.235158284505207,0.01606085436087054
1,ret_12_7,16.418755729993183,0.015300076750858779
1,saleq_gr1,15.26619835694631,0.014226047965889903
1,mispricing_mgmt,15.156470735867819,0.014123796549777828
1,ival_me,14.628751118977865,0.013632032692995398
1,be_me,14.097126563390097,0.013136629957435154
1,resff3_6_1,13.91150697072347,0.012963657409395198
1,ppeinv_gr1a,13.273473898569742,0.012369096217665824
1,ncol_gr1a,13.041090687115988,0.012152546253142113
1,ret_6_1,12.984182437260946,0.012099515402031476
1,ebitda_mev,12.83580219745636,0.011961244932901235
1,dolvol_var_126d,12.516835927963257,0.011664011178746247
1,niq_at,11.888114213943481,0.011078126923104299
1,oaccruals_at,11.884314775466919,0.011074586356373326
1,netis_at,11.632692019144693,0.010840107718204666
1,inv_gr1,11.524088144302368,0.010738903482764777
1,cash_at,11.132084727287292,0.01037360890956072
1,oaccruals_ni,11.090608636538187,0.010334958759560153
1,kz_index,11.06218147277832,0.010308468458194582
1,ret_9_1,10.800163269042969,0.010064302658227798
1,ni_be,10.720062534014383,0.00998965952363881
1,niq_at_chg1,10.615629235903421,0.009892341705972266
1,chcsho_12m,10.295400102933248,0.009593931132547733
1,betadown_252d,10.216979424158732,0.009520853584904294
1,dolvol_126d,10.214196364084879,0.00951826014643475
1,nfna_gr1a,10.19187068939209,0.009497455613988338
1,aliq_at,10.107182701428732,0.009418537775327264
1,tangibility,9.84304658571879,0.009172398365648775
1,ivol_capm_252d,9.681484381357828,0.009021844074726166
1,coa_gr1a,9.407261490821838,0.008766305144673229
1,dsale_drec,9.403324802716574,0.008762636679708816
1,ocf_at_chg1,9.211679140726725,0.008584048643828763
1,ebit_bev,8.636975705623627,0.008048502174250875
1,bidaskhl_21d,8.559659878412882,0.00797645419998084
1,zero_trades_126d,8.532639106114706,0.007951274466703346
1,at_gr1,8.500454445679983,0.007921282682736912
1,rvol_21d,8.375269730885824,0.007804627329805013
1,opex_at,8.325218498706818,0.0077579862988762845
1,sale_bev,8.214499612649282,0.00765481115684312
1,netdebt_me,8.088913977146149,0.0075377821996187155
1,pi_nix,7.897531688213348,0.007359439592080082
1,sale_me,7.62040634950002,0.007101195969868435
1,taccruals_ni,7.568971037864685,0.007053265162646097
1,at_be,7.482065677642822,0.006972281030637448
1,eqnetis_at,7.465341150760651,0.006956696016210832
1,cop_at,7.392324467500051,0.006888654267106816
1,eqnpo_me,7.20055749018987,0.006709953181630153
1,fnl_gr1a,7.015717426935832,0.006537707050380745
1,beta_dimson_21d,7.012769838174184,0.006534960293255856
1,div12m_me,6.906493266423543,0.00643592479194606
1,ebit_sale,6.878161748250325,0.006409523619430488
1,ivol_hxz4_21d,6.8780361612637835,0.006409406589214277
1,bev_mev,6.86548254887263,0.00639770830730767
1,coskew_21d,6.808539251486461,0.006344644796601811
1,qmj_safety,6.696418642997742,0.006240163437390367
1,cop_atl1,6.502069473266602,0.006059056095137863
1,sti_gr1a,6.420259773731232,0.005982820434991626
1,at_turnover,6.4192734360694885,0.005981901300668958
1,inv_gr1a,6.3484731912612915,0.005915924974730558
1,ocf_me,6.297065714995067,0.005868020106336397
1,z_score,6.260952611764272,0.005834367540927102
1,ni_me,6.254945953687032,0.005828770141763044
1,prc,6.227711300055186,0.00580339109978795
1,ope_be,6.153741121292114,0.0057344608208459045
1,qmj_prof,6.116473237673442,0.005699732155100172
1,emp_gr1,6.077779750029246,0.005663675017735425
1,niq_be,5.96196977297465,0.005555755662177094
1,nncoa_gr1a,5.897316992282867,0.005495507947733441
1,age,5.872380197048187,0.0054722702013849725
1,turnover_var_126d,5.834243218104045,0.005436731655438683
1,op_atl1,5.745041906833649,0.005353608005196347
1,lti_gr1a,5.732665757338206,0.005342075094890941
1,eq_dur,5.676560580730438,0.005289792600264919
1,zero_trades_21d,5.603167374928792,0.005221399982686387
1,ope_bel1,5.574457863966624,0.005194646571622577
1,iskew_hxz4_21d,5.437308073043823,0.0050668413735922655
1,zero_trades_252d,5.306038916110992,0.0049445161371905865
1,gp_atl1,5.303353627522786,0.004942013808623587
1,noa_at,5.298402547836304,0.00493740006684872
1,op_at,5.27412744363149,0.0049147789277333934
1,turnover_126d,5.271565755208333,0.004912391777931627
1,fcf_me,5.1320454478263855,0.00478237757671249
1,dbnetis_at,5.08090869585673,0.004734724987028358
1,at_me,5.02263065179189,0.00468041767155663
1,ami_126d,4.91387015581131,0.004579067486236281
1,seas_1_1na,4.912976324558258,0.00457823455547107
1,rmax1_21d,4.784260988235474,0.00445828913712529
1,col_gr1a,4.746181945006053,0.004422804579489469
1,noa_gr1a,4.6491805712382,0.00433241231785933
1,cowc_gr1a,4.630959888299306,0.004315433086789531
1,eqpo_me,4.618914067745209,0.0043042079987234425
1,market_equity,4.614330768585205,0.004299936979038796
1,aliq_mat,4.580601414044698,0.00426850574748183
1,ret_3_1,4.5647324323654175,0.004253717986360113
1,taccruals_at,4.433995346228282,0.004131888568529884
