rank,sharpe,correlation_with_full,relative_payoff_mse,rms_payoff_share
1,1.2902431749985348,0.9142115772950937,0.1537319678459795,1.023202525554446
2,1.4610630184291207,0.997629578785148,0.0041446227609662975,0.9879171275878469
3,1.4168528876389213,0.999353362217601,0.0011455495886524391,1.0003998554478393
4,1.4338364073765046,0.9996064156773139,0.0007064541479117944,0.9940895369418827
5,1.438472178129397,0.9998055382485708,0.0003323482924467664,0.9995949934996715
6,1.4400562492456837,0.9998566908293631,0.00024490412669404447,1.0005405249855053
7,1.4446149320119825,0.9999654368090749,6.050911042956574e-05,1.0011917282528522
8,1.4438870341745749,0.9999704268537242,5.2843154082012105e-05,1.0015369994005434
9,1.4443952860164517,0.9999851789577848,2.8420108868850427e-05,1.0017324060858028
10,1.4431102012674495,0.9999864416452752,2.5122043941541677e-05,1.001416236878734
11,1.4422989911910529,0.9999943395716787,9.700672598175931e-06,1.0002145564311464
12,1.4425070194958698,0.999996972605882,5.159568838044663e-06,0.9999932549067678
13,1.4421806602864427,0.9999972415793315,4.7262765640580235e-06,1.00007092445327
14,1.442516213178907,0.9999976024277669,4.0904802687219466e-06,0.9999395622710567
15,1.442506284168806,0.999997908974861,3.574897280521039e-06,0.9999019262918059
16,1.443088550245332,0.9999982688578702,3.5071807303576226e-06,0.9992527343435088
17,1.443174650749854,0.9999987907049837,2.486471369990979e-06,0.9993504640411005
18,1.4431393398924997,0.9999989515011294,2.246222890242862e-06,0.9993242454707051
19,1.44302493703047,0.9999991212888344,1.8370814308219207e-06,0.9994171135971676
20,1.4427639575507791,0.9999993934523512,1.1654455991042355e-06,0.9996351406019787
21,1.442576215784877,0.9999994261534828,1.0793837577492344e-06,0.9996851490184658
22,1.4429951901184015,0.9999998696709417,2.8010226881995685e-07,0.9997622673786529
23,1.4428868011643279,0.9999998963242911,2.1398657701114552e-07,0.999806869878313
24,1.4427891845595076,0.9999999121605103,1.8324840166839468e-07,0.9998164751046938
25,1.4426310557626365,0.9999999404886486,1.0513020827056726e-07,0.9999603036410298
26,1.4427102620282521,0.9999999380740503,1.0711851686483121e-07,0.9999695369652887
27,1.4427049831021859,0.9999999324832806,1.1643258628841749e-07,0.9999744971196679
28,1.4427061148445088,0.9999999408195444,1.0239779517208087e-07,0.999971326601922
29,1.4426900732976682,0.9999999691753378,5.444607061623859e-08,0.9999701260192931
30,1.4427366699814745,0.9999999813879046,3.3339267900540416e-08,0.9999653734754506
31,1.442799297699887,0.9999999941264271,1.00712711344389e-08,0.9999938791480962
32,1.4428235565434961,0.9999999999999984,2.589248614775627e-15,0.9999999924586719
