formation_date,payoff_date,portfolio_return,fold
2014-12-31,2015-01-31,0.4158256521668619,2015
2015-01-31,2015-02-28,0.06537640089215807,2015
2015-02-28,2015-03-31,0.13378198298356359,2015
2015-03-31,2015-04-30,0.05950795179844692,2015
2015-04-30,2015-05-31,0.1607638603896281,2015
2015-05-31,2015-06-30,0.07496648456886561,2015
2015-06-30,2015-07-31,0.203322968508998,2015
2015-07-31,2015-08-31,0.07973670942204669,2015
2015-08-31,2015-09-30,1.296747811889026,2015
2015-09-30,2015-10-31,0.8162473875318945,2015
2015-10-31,2015-11-30,0.24840359154048033,2015
2015-11-30,2015-12-31,0.1427480700588949,2015
2015-12-31,2016-01-31,0.7314326906915362,2016
2016-01-31,2016-02-29,0.11736777739129922,2016
2016-02-29,2016-03-31,-0.3669892028637287,2016
2016-03-31,2016-04-30,-0.8365329783522137,2016
2016-04-30,2016-05-31,0.729383287712617,2016
2016-05-31,2016-06-30,0.14541289260194576,2016
2016-06-30,2016-07-31,0.645447735877181,2016
2016-07-31,2016-08-31,0.12204643713500118,2016
2016-08-31,2016-09-30,0.07951026898087815,2016
2016-09-30,2016-10-31,0.4999507430280579,2016
2016-10-31,2016-11-30,0.8732963021905542,2016
2016-11-30,2016-12-31,0.2061934630110286,2016
2016-12-31,2017-01-31,0.16563597800504307,2017
2017-01-31,2017-02-28,0.0879379027705556,2017
2017-02-28,2017-03-31,-0.03046433912791227,2017
2017-03-31,2017-04-30,0.5413725762857595,2017
2017-04-30,2017-05-31,0.03919668677840432,2017
2017-05-31,2017-06-30,-0.09913334169633754,2017
2017-06-30,2017-07-31,0.3779817603720419,2017
2017-07-31,2017-08-31,0.15473018696856242,2017
2017-08-31,2017-09-30,0.3208568533342297,2017
2017-09-30,2017-10-31,0.5851580341342731,2017
2017-10-31,2017-11-30,0.18662401578679114,2017
2017-11-30,2017-12-31,-0.04276780088004466,2017
2017-12-31,2018-01-31,0.5098548457205238,2018
2018-01-31,2018-02-28,0.21868362114252426,2018
2018-02-28,2018-03-31,0.08398577750324232,2018
2018-03-31,2018-04-30,-0.004108725769141966,2018
2018-04-30,2018-05-31,0.35786179554119696,2018
2018-05-31,2018-06-30,0.00881683763403289,2018
2018-06-30,2018-07-31,0.42078885530639387,2018
2018-07-31,2018-08-31,0.4304699007442332,2018
2018-08-31,2018-09-30,-0.17577245141609396,2018
2018-09-30,2018-10-31,0.06958461786852943,2018
2018-10-31,2018-11-30,-0.05813641484616286,2018
2018-11-30,2018-12-31,0.05200340176512264,2018
2018-12-31,2019-01-31,0.12034729261006977,2019
2019-01-31,2019-02-28,0.031235079992275094,2019
2019-02-28,2019-03-31,0.09518197481550966,2019
2019-03-31,2019-04-30,0.4076259125569117,2019
2019-04-30,2019-05-31,-0.3755728687942853,2019
2019-05-31,2019-06-30,0.1560826181612174,2019
2019-06-30,2019-07-31,0.39685902475712975,2019
2019-07-31,2019-08-31,-0.2506271076050506,2019
2019-08-31,2019-09-30,0.1970024083837839,2019
2019-09-30,2019-10-31,0.48794371890701416,2019
2019-10-31,2019-11-30,-0.11835233641028964,2019
2019-11-30,2019-12-31,-0.31652098493142133,2019
2019-12-31,2020-01-31,-0.2534807489297322,2020
2020-01-31,2020-02-29,-1.0879692377233625,2020
2020-02-29,2020-03-31,-1.0971328736798276,2020
2020-03-31,2020-04-30,1.3548680866862948,2020
2020-04-30,2020-05-31,-0.6116707485593071,2020
2020-05-31,2020-06-30,0.21968656337343528,2020
2020-06-30,2020-07-31,-0.2558571372035761,2020
2020-07-31,2020-08-31,0.6590750510421973,2020
2020-08-31,2020-09-30,-0.6665047604530355,2020
2020-09-30,2020-10-31,0.5906277727700662,2020
2020-10-31,2020-11-30,-0.3848441341770854,2020
2020-11-30,2020-12-31,-0.33684142701053726,2020
2020-12-31,2021-01-31,-1.2452853283820218,2021
2021-01-31,2021-02-28,0.3989589934598589,2021
2021-02-28,2021-03-31,1.3268217549458385,2021
2021-03-31,2021-04-30,0.7672828543842061,2021
2021-04-30,2021-05-31,0.8671533253600295,2021
2021-05-31,2021-06-30,-0.5144760546526297,2021
2021-06-30,2021-07-31,1.3506764637098412,2021
2021-07-31,2021-08-31,0.3981506541710683,2021
2021-08-31,2021-09-30,0.055966348755575546,2021
2021-09-30,2021-10-31,0.37499041376951614,2021
2021-10-31,2021-11-30,0.6440046988817048,2021
2021-11-30,2021-12-31,0.6201725506612807,2021
2021-12-31,2022-01-31,0.7606338051484978,2022
2022-01-31,2022-02-28,-0.059202604904409796,2022
2022-02-28,2022-03-31,-0.385907632855182,2022
2022-03-31,2022-04-30,0.781263584864557,2022
2022-04-30,2022-05-31,0.585166417475534,2022
2022-05-31,2022-06-30,0.027772133684755063,2022
2022-06-30,2022-07-31,0.315205216871465,2022
2022-07-31,2022-08-31,-0.13943829381203726,2022
2022-08-31,2022-09-30,0.6409701555350555,2022
2022-09-30,2022-10-31,1.168635050519413,2022
2022-10-31,2022-11-30,0.33040109446380495,2022
2022-11-30,2022-12-31,0.3724544731861986,2022
2022-12-31,2023-01-31,-0.48975410438613315,2023
2023-01-31,2023-02-28,0.518555280715513,2023
2023-02-28,2023-03-31,-0.15616820804714948,2023
2023-03-31,2023-04-30,-0.1763835243812571,2023
2023-04-30,2023-05-31,0.49004193307019783,2023
2023-05-31,2023-06-30,0.09059012161029409,2023
2023-06-30,2023-07-31,0.19477963360728767,2023
2023-07-31,2023-08-31,0.9780413178687761,2023
2023-08-31,2023-09-30,0.2791037416769373,2023
2023-09-30,2023-10-31,0.17476468137289125,2023
2023-10-31,2023-11-30,1.429708393685666,2023
2023-11-30,2023-12-31,-0.1282877649376365,2023
2023-12-31,2024-01-31,0.9062398818188594,2024
